id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id,related_order_id,is_backorder
35,1,2006-03-22 16:02:28,2006-03-22 16:02:28,80,75,0,0,0,False
36,1,2006-03-22 16:02:48,2006-03-22 16:02:48,72,40,0,0,0,False
37,1,2006-03-22 16:03:04,2006-03-22 16:03:04,52,100,0,0,0,False
38,1,2006-03-22 16:03:09,2006-03-22 16:03:09,56,120,0,0,0,False
39,1,2006-03-22 16:03:14,2006-03-22 16:03:14,57,80,0,0,0,False
40,1,2006-03-22 16:03:40,2006-03-22 16:03:40,6,100,0,0,0,False
41,1,2006-03-22 16:03:47,2006-03-22 16:03:47,7,40,0,0,0,False
42,1,2006-03-22 16:03:54,2006-03-22 16:03:54,8,40,0,0,0,False
43,1,2006-03-22 16:04:02,2006-03-22 16:04:02,14,40,0,0,0,False
44,1,2006-03-22 16:04:07,2006-03-22 16:04:07,17,40,0,0,0,False
45,1,2006-03-22 16:04:12,2006-03-22 16:04:12,19,20,0,0,0,False
46,1,2006-03-22 16:04:17,2006-03-22 16:04:17,20,40,0,0,0,False
47,1,2006-03-22 16:04:20,2006-03-22 16:04:20,21,20,0,0,0,False
48,1,2006-03-22 16:04:24,2006-03-22 16:04:24,40,120,0,0,0,False
49,1,2006-03-22 16:04:28,2006-03-22 16:04:28,41,40,0,0,0,False
50,1,2006-03-22 16:04:31,2006-03-22 16:04:31,48,100,0,0,0,False
51,1,2006-03-22 16:04:38,2006-03-22 16:04:38,51,40,0,0,0,False
52,1,2006-03-22 16:04:41,2006-03-22 16:04:41,74,20,0,0,0,False
53,1,2006-03-22 16:04:45,2006-03-22 16:04:45,77,60,0,0,0,False
54,1,2006-03-22 16:05:07,2006-03-22 16:05:07,3,100,0,0,0,False
55,1,2006-03-22 16:05:11,2006-03-22 16:05:11,4,40,0,0,0,False
56,1,2006-03-22 16:05:14,2006-03-22 16:05:14,5,40,0,0,0,False
57,1,2006-03-22 16:05:26,2006-03-22 16:05:26,65,40,0,0,0,False
58,1,2006-03-22 16:05:32,2006-03-22 16:05:32,66,80,0,0,0,False
59,1,2006-03-22 16:05:47,2006-03-22 16:05:47,1,40,0,0,0,False
60,1,2006-03-22 16:05:51,2006-03-22 16:05:51,34,60,0,0,0,False
61,1,2006-03-22 16:06:00,2006-03-22 16:06:00,43,100,0,0,0,False
62,1,2006-03-22 16:06:03,2006-03-22 16:06:03,81,125,0,0,0,False
63,2,2006-03-22 16:07:56,2006-03-24 11:03:00,80,30,0,0,0,False
64,2,2006-03-22 16:08:19,2006-03-22 16:08:59,7,10,0,0,0,False
65,2,2006-03-22 16:08:29,2006-03-22 16:08:59,51,10,0,0,0,False
66,2,2006-03-22 16:08:37,2006-03-22 16:08:59,80,10,0,0,0,False
67,2,2006-03-22 16:09:46,2006-03-22 16:10:27,1,15,0,0,0,False
68,2,2006-03-22 16:10:06,2006-03-22 16:10:27,43,20,0,0,0,False
69,2,2006-03-22 16:11:39,2006-03-24 11:00:55,19,20,0,0,0,False
70,2,2006-03-22 16:11:56,2006-03-24 10:59:41,48,10,0,0,0,False
71,2,2006-03-22 16:12:29,2006-03-24 10:57:38,8,17,0,0,0,False
72,1,2006-03-24 10:41:30,2006-03-24 10:41:30,81,200,0,0,0,False
73,2,2006-03-24 10:41:33,2006-03-24 10:41:42,81,200,0,0,40,True
74,1,2006-03-24 10:53:13,2006-03-24 10:53:13,48,100,0,0,0,False
75,2,2006-03-24 10:53:16,2006-03-24 10:55:46,48,100,0,0,39,True
76,1,2006-03-24 10:53:36,2006-03-24 10:53:36,43,300,0,0,0,False
77,2,2006-03-24 10:53:39,2006-03-24 10:56:57,43,300,0,0,38,True
78,1,2006-03-24 10:54:04,2006-03-24 10:54:04,41,200,0,0,0,False
79,2,2006-03-24 10:54:07,2006-03-24 10:58:40,41,200,0,0,36,True
